"Columna1" "Columna2" "Columna3" "Columna4" "Columna5"
"1" 1 NA 70 1 0
"2" 2 NA 50 2 0
"3" 3 NA 80 3 0
"4" 4 NA NA 4 0
"5" 5 NA 6 5 0
"6" 6 NA NA 6 0
"7" 7 NA 70 7 0
"8" 8 NA 50 NA 0
"9" 9 NA 80 5 0
"10" NA NA NA 15 0
"11" 1 NA 6 1 0
"12" 2 NA NA 2 0
"13" 3 NA 70 3 0
"14" 4 NA 50 4 0
"15" 5 NA 80 5 0
"16" 6 NA NA 6 0
"17" 7 NA 6 7 0
"18" 8 NA NA NA 0
"19" 9 NA 70 5 0
"20" NA NA 50 15 0
"21" 1 NA 80 1 0
"22" 2 NA NA 2 0
"23" 3 NA 6 3 0
"24" 4 NA NA 4 0
"25" 5 NA 70 5 0
"26" 6 NA 50 6 0
"27" 7 NA 80 7 0
"28" 8 NA NA NA 0
"29" 9 NA 6 5 0
"30" NA NA NA 15 0
